Commit SHA,Java File,Old function signature,New function signature
787d8fc0215c5bab541f61c2d69a91753d462559,OperationOnErrorResumeNextViaFunction.java,import rx.util.Func1;,import rx.util.AtomicObservableSubscription;
787d8fc0215c5bab541f61c2d69a91753d462559,OperationOnErrorReturn.java,import rx.util.Func1;,import rx.util.AtomicObservableSubscription;
787d8fc0215c5bab541f61c2d69a91753d462559,OperationScan.java,import rx.util.Func2;,import rx.util.functions.Func1;
787d8fc0215c5bab541f61c2d69a91753d462559,OperationToObservableSortedList.java,import rx.util.Func2;,import rx.util.functions.Func1;
787d8fc0215c5bab541f61c2d69a91753d462559,OperationZip.java,import rx.util.Functions;,import rx.util.AtomicObservableSubscription;
fa1af64cd44b1df370e39394a479e3c33335fc6c,ClojureAdaptor.java,import rx.util.FunctionLanguageAdaptor;,import rx.util.functions.FunctionLanguageAdaptor;
fa1af64cd44b1df370e39394a479e3c33335fc6c,GroovyAdaptor.java,import rx.util.FunctionLanguageAdaptor;,import rx.util.functions.FunctionLanguageAdaptor;
fa1af64cd44b1df370e39394a479e3c33335fc6c,JRubyAdaptor.java,import rx.util.FunctionLanguageAdaptor;,import rx.util.functions.FunctionLanguageAdaptor;
fa1af64cd44b1df370e39394a479e3c33335fc6c,Observable.java,import rx.util.Functions;,import rx.observables.operations.OperatorSubscribeFunction;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationCombineLatest.java,import rx.util.Functions;,import rx.util.functions.Func1;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationFilter.java,import rx.util.Func1;,import rx.util.AtomicObservableSubscription;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationMap.java,import rx.util.Func1;,import rx.util.functions.Func1;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationOnErrorResumeNextViaFunction.java,import rx.util.Func1;,import rx.util.AtomicObservableSubscription;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationOnErrorReturn.java,import rx.util.Func1;,import rx.util.AtomicObservableSubscription;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationScan.java,import rx.util.Func2;,import rx.util.AtomicObservableSubscription;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationToObservableSortedList.java,import rx.util.Func2;,import rx.util.functions.Func1;
fa1af64cd44b1df370e39394a479e3c33335fc6c,OperationZip.java,import rx.util.Functions;,import rx.util.AtomicObservableSubscription;
5d6346e0299eefeac6b55d371a2ffb4b550203e8,OperationSynchronize.java,import rx.util.AtomicObserverSingleThreaded;,import rx.util.SynchronizedObserver;
5d6346e0299eefeac6b55d371a2ffb4b550203e8,OperationZip.java,import rx.util.AtomicObserverSingleThreaded;,import rx.util.SynchronizedObserver;
5d6346e0299eefeac6b55d371a2ffb4b550203e8,Subject.java,import rx.util.AtomicObserver;,import rx.util.SynchronizedObserver;
5d6346e0299eefeac6b55d371a2ffb4b550203e8,AtomicObserver.java,import javax.annotation.concurrent.ThreadSafe;,import java.util.concurrent.atomic.AtomicBoolean;
a1a146930b3c5e63672a7134ca726d22c992ce52,ClojureAdaptor.java,import rx.observables.Observer;,import rx.Observer;
a1a146930b3c5e63672a7134ca726d22c992ce52,GroovyAdaptor.java,import rx.observables.Subscription;,import rx.Notification;
a1a146930b3c5e63672a7134ca726d22c992ce52,JRubyAdaptor.java,import rx.observables.Subscription;,import rx.Notification;
a1a146930b3c5e63672a7134ca726d22c992ce52,Observable.java,import rx.observables.operations.OperationZip;,import rx.operators.OperationConcat;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationCombineLatest.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationConcat.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationFilter.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationLast.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationMap.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationMaterialize.java,import rx.observables.Subscription;,import rx.Notification;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationMerge.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationMergeDelayError.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationOnErrorResumeNextViaFunction.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationOnErrorResumeNextViaObservable.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationOnErrorReturn.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationScan.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationSkip.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationSynchronize.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationTake.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationToObservableFuture.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationToObservableIterable.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationToObservableList.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationToObservableSortedList.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,OperationZip.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,Subject.java,import rx.observables.Subscription;,import rx.Notification;
a1a146930b3c5e63672a7134ca726d22c992ce52,AtomicObservableSubscription.java,import rx.observables.Subscription;,import rx.Subscription;
a1a146930b3c5e63672a7134ca726d22c992ce52,AtomicObserver.java,import rx.observables.Observer;,import rx.Observer;
a1a146930b3c5e63672a7134ca726d22c992ce52,SynchronizedObserver.java,import rx.observables.Subscription;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,PerformanceTest.java,import rx.observables.Observer;,import rx.Observable;
a1a146930b3c5e63672a7134ca726d22c992ce52,RxExamples.java,import rx.observables.Observable;,import rx.Observable;
868ca9a344fc6b444ebcbecb36595fbde074a912,JRubyAdaptor.java,"            b.append(""import \""rx.observables.Observable\"""").append(""\n"");","            b.append(""import \""rx.Observable\"""").append(""\n"");"
2da97a25a1c8d8977de81b7a80e055ba04f22b86,ClojureAdaptor.java,import rx.observables.Observer;,import rx.Observer;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,GroovyAdaptor.java,import rx.observables.Subscription;,import rx.Notification;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,JRubyAdaptor.java,import rx.observables.Subscription;,import rx.Notification;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,JRubyAdaptor.java,"            b.append(""import \""rx.observables.Observable\"""").append(""\n"");","            b.append(""import \""rx.Observable\"""").append(""\n"");"
2da97a25a1c8d8977de81b7a80e055ba04f22b86,Observable.java,import rx.observables.operations.OperatorSubscribeFunction;,import rx.operators.OperationConcat;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationCombineLatest.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationConcat.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationFilter.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationLast.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationMap.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationMaterialize.java,import rx.observables.Subscription;,import rx.Notification;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationMerge.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationMergeDelayError.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationOnErrorResumeNextViaFunction.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationOnErrorResumeNextViaObservable.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationOnErrorReturn.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationScan.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationSkip.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationSynchronize.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationSynchronize.java,import rx.util.AtomicObserverSingleThreaded;,import rx.util.SynchronizedObserver;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationTake.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationToObservableFuture.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationToObservableIterable.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationToObservableList.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationToObservableSortedList.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationZip.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,OperationZip.java,import rx.util.AtomicObserverSingleThreaded;,import rx.util.SynchronizedObserver;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,Subject.java,import rx.observables.Subscription;,import rx.Notification;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,Subject.java,import rx.util.AtomicObserver;,import rx.util.SynchronizedObserver;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,AtomicObservableSubscription.java,import rx.observables.Subscription;,import rx.Subscription;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,AtomicObserver.java,import javax.annotation.concurrent.ThreadSafe;,import java.util.concurrent.atomic.AtomicBoolean;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,AtomicObserver.java,import rx.observables.Observer;,import rx.Observer;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,SynchronizedObserver.java,import rx.observables.Subscription;,import rx.Observable;
2da97a25a1c8d8977de81b7a80e055ba04f22b86,RxExamples.java,import rx.observables.Observable;,import rx.Observable;
4f8778eacdb5fbd260b0f20dba78c626ab6bf8d9,OperationNext.java,,import rx.util.functions.Func1;
5d1847146d5c714d0f1b21a395868e649a2e4107,GroupedObservable.java,import java.util.Map;,import rx.util.functions.Func1;
041eaebedecd9e0e302efd01ba60d80db434ab62,OperationMostRecent.java,import static org.mockito.Mockito.mock;,import org.junit.Test;
041eaebedecd9e0e302efd01ba60d80db434ab62,Range.java,import static org.junit.Assert.assertEquals;,import org.junit.Test;
041eaebedecd9e0e302efd01ba60d80db434ab62,PerformanceTest.java,    public void runCompositionTestWithMultipleOperations(Integer[] values),"    public void runCompositionTestWithMultipleOperations(AtomicLong aggregateTime, Integer[] values)"
041eaebedecd9e0e302efd01ba60d80db434ab62,PerformanceTest.java,    public void runCompositionTest(Integer[] values),"    public void runCompositionTest(AtomicLong aggregateTime, Integer[] values)"
041eaebedecd9e0e302efd01ba60d80db434ab62,PerformanceTest.java,    public void runNonCompositionalTestWithDirectLoop(Integer[] values),"    public void runNonCompositionalTestWithDirectLoop(AtomicLong aggregateTime, Integer[] values)"
041eaebedecd9e0e302efd01ba60d80db434ab62,PerformanceTest.java,    public void runNonCompositionalTestWithArrayOfFunctions(Integer[] values),"    public void runNonCompositionalTestWithArrayOfFunctions(AtomicLong aggregateTime, Integer[] values)"
60912673554199663153769294cf12f93b032bc0,OperationMostRecent.java,import static org.mockito.Mockito.mock;,import org.junit.Test;
60912673554199663153769294cf12f93b032bc0,Range.java,import static org.junit.Assert.assertEquals;,import org.junit.Test;
60912673554199663153769294cf12f93b032bc0,PerformanceTest.java,    public void runCompositionTest(Integer[] values),"    public void runCompositionTest(AtomicLong aggregateTime, Integer[] values)"
60912673554199663153769294cf12f93b032bc0,PerformanceTest.java,    public void runNonCompositionalTestWithDirectLoop(Integer[] values),"    public void runNonCompositionalTestWithDirectLoop(AtomicLong aggregateTime, Integer[] values)"
60912673554199663153769294cf12f93b032bc0,PerformanceTest.java,    public void runNonCompositionalTestWithArrayOfFunctions(Integer[] values),"    public void runNonCompositionalTestWithArrayOfFunctions(AtomicLong aggregateTime, Integer[] values)"
232612c800c2583da61b95397141040d3106efda,OperationFinally.java,,import org.junit.Before;
d172fd90a9eb2361ea421aa8a955aa4b45d402e8,OperationTake.java,,import rx.subjects.Subject;
9eb111e1c7bc65c994768a6ed8afd7b9842662bd,CurrentThreadScheduler.java,import rx.Scheduler;,import org.mockito.InOrder;
9eb111e1c7bc65c994768a6ed8afd7b9842662bd,CurrentThreadScheduler.java,import java.util.concurrent.TimeUnit;,
f81c0aca8e45bc9a629df4220030aea10f22d38c,OperationConcat.java,import java.lang.reflect.Array;,import java.util.Arrays;
f81c0aca8e45bc9a629df4220030aea10f22d38c,OperationConcat.java,import rx.util.functions.Action1;,import rx.util.Exceptions;
89dbc9300845dfc71df926a0948651ac51725876,OperationTake.java,,import rx.subjects.Subject;
fb0e8b01c9e344de4690f8f8930a274000b9fbe9,OperationTake.java,,import rx.subjects.Subject;
4919472dd12f0230b9116544182d0e706e44db06,OperationTake.java,import rx.subjects.Subject;,
dbf1cb4a4bd512e3997a1bd2f2fd08a7c7dc8495,OperationTake.java,,import rx.subjects.Subject;
4cb4fed51e23bee21c03b0c2af0b891ba55934a0,OperationTake.java,import rx.subjects.Subject;,
a5c28cf7b3c30127900dbec5d3bf637530e90f7a,OperationTake.java,import rx.subjects.Subject;,
